loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_spearman_rho,eval_mae,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.9689,26.224281311035156,1.801912233390537e-06,0.006128953174797744,50,,,,,,,,,,,
1.022,18.88054656982422,3.6405981858298598e-06,0.012257906349595489,100,,,,,,,,,,,
0.9663,54.99884033203125,5.479284138269184e-06,0.018386859524393232,150,,,,,,,,,,,
1.0242,20.164453506469727,7.317970090708506e-06,0.024515812699190977,200,,,,,,,,,,,
1.0414,22.701162338256836,9.156656043147829e-06,0.030644765873988723,250,,,,,,,,,,,
0.9973,9.903121948242188,1.0995341995587154e-05,0.036773719048786464,300,,,,,,,,,,,
0.9848,19.456361770629883,1.2834027948026476e-05,0.04290267222358421,350,,,,,,,,,,,
0.9891,8.206762313842773,1.4672713900465798e-05,0.049031625398381955,400,,,,,,,,,,,
0.993,22.668615341186523,1.651139985290512e-05,0.0551605785731797,450,,,,,,,,,,,
0.9262,1.2770543098449707,1.8350085805344447e-05,0.061289531747977445,500,,,,,,,,,,,
0.9641,0.6008783578872681,2.018877175778377e-05,0.06741848492277519,550,,,,,,,,,,,
1.0234,1.4972264766693115,2.2027457710223094e-05,0.07354743809757293,600,,,,,,,,,,,
1.0532,2.801018476486206,2.3866143662662416e-05,0.07967639127237068,650,,,,,,,,,,,
0.9929,1.2371951341629028,2.5704829615101737e-05,0.08580534444716842,700,,,,,,,,,,,
1.0935,2.704531669616699,2.7543515567541063e-05,0.09193429762196617,750,,,,,,,,,,,
0.9309,0.48311442136764526,2.9382201519980385e-05,0.09806325079676391,800,,,,,,,,,,,
1.0594,1.3842285871505737,3.1220887472419706e-05,0.10419220397156166,850,,,,,,,,,,,
0.9786,0.28353068232536316,3.305957342485903e-05,0.1103211571463594,900,,,,,,,,,,,
1.0026,0.959489107131958,3.489825937729836e-05,0.11645011032115715,950,,,,,,,,,,,
1.0774,0.697911262512207,3.6736945329737675e-05,0.12257906349595489,1000,,,,,,,,,,,
1.0212,0.9157474637031555,3.8575631282177e-05,0.12870801667075263,1050,,,,,,,,,,,
1.0641,0.49512672424316406,4.0414317234616326e-05,0.13483696984555038,1100,,,,,,,,,,,
0.9149,0.23254813253879547,4.2253003187055644e-05,0.14096592302034813,1150,,,,,,,,,,,
0.9972,0.2625124454498291,4.409168913949497e-05,0.14709487619514586,1200,,,,,,,,,,,
0.9494,0.25057822465896606,4.5930375091934295e-05,0.1532238293699436,1250,,,,,,,,,,,
0.9202,0.12857240438461304,4.776906104437361e-05,0.15935278254474136,1300,,,,,,,,,,,
0.9931,0.303191214799881,4.960774699681294e-05,0.1654817357195391,1350,,,,,,,,,,,
1.0082,0.18571189045906067,5.1446432949252263e-05,0.17161068889433684,1400,,,,,,,,,,,
0.9903,0.12104934453964233,5.328511890169159e-05,0.1777396420691346,1450,,,,,,,,,,,
1.0099,0.06291379034519196,5.512380485413091e-05,0.18386859524393234,1500,,,,,,,,,,,
1.0044,0.16483156383037567,5.696249080657023e-05,0.1899975484187301,1550,,,,,,,,,,,
0.9731,0.27975767850875854,5.880117675900956e-05,0.19612650159352782,1600,,,,,,,,,,,
0.9415,0.13458634912967682,6.063986271144888e-05,0.20225545476832557,1650,,,,,,,,,,,
0.9533,0.2712070345878601,6.24785486638882e-05,0.20838440794312332,1700,,,,,,,,,,,
0.9839,0.10519173741340637,6.431723461632752e-05,0.21451336111792105,1750,,,,,,,,,,,
0.9812,0.16497918963432312,6.615592056876685e-05,0.2206423142927188,1800,,,,,,,,,,,
1.0275,0.5214359164237976,6.799460652120617e-05,0.22677126746751655,1850,,,,,,,,,,,
1.0042,0.39152950048446655,6.983329247364549e-05,0.2329002206423143,1900,,,,,,,,,,,
1.0195,0.813977062702179,7.167197842608482e-05,0.23902917381711203,1950,,,,,,,,,,,
0.9577,0.1058332547545433,7.351066437852414e-05,0.24515812699190978,2000,,,,,,,,,,,
0.9635,0.09970005601644516,7.534935033096347e-05,0.25128708016670753,2050,,,,,,,,,,,
1.0273,0.2691807746887207,7.718803628340279e-05,0.25741603334150526,2100,,,,,,,,,,,
1.0175,1.3164095878601074,7.902672223584211e-05,0.26354498651630304,2150,,,,,,,,,,,
0.9871,0.204920694231987,8.086540818828144e-05,0.26967393969110076,2200,,,,,,,,,,,
1.0013,0.3638058006763458,8.270409414072076e-05,0.2758028928658985,2250,,,,,,,,,,,
0.9743,0.3120471239089966,8.454278009316008e-05,0.28193184604069627,2300,,,,,,,,,,,
0.9918,0.42947623133659363,8.638146604559941e-05,0.288060799215494,2350,,,,,,,,,,,
